grid_x,grid_y,latitude,longitude,elevation_m,land_cover,terrain_penalty,rssi_dbm,snr_db,pdr,path_loss_db
0,0,51.51690759255387,-0.15377996631350777,30.0,50,0.95,-120.0,-10.0,0.0,120.0
0,1,51.514492816282775,-0.14895272172876242,32.0,50,0.95,-120.0,-10.0,0.0,120.0
0,2,51.51207784191688,-0.1441259889421053,29.0,50,0.95,-120.0,-10.0,0.0,120.0
0,3,51.509662669494304,-0.1392997678969687,34.0,50,0.8,-120.0,-10.0,0.0,120.0
0,4,51.50724729905322,-0.13447405853677707,27.0,10,0.7,-120.0,-10.0,0.0,120.0
0,5,51.50483173063172,-0.1296488608049471,10.0,10,0.6,-120.0,-10.0,0.0,120.0
0,6,51.50241596426794,-0.1248241746448877,16.0,50,0.95,-120.0,-10.0,0.0,120.0
0,7,51.5,-0.12,5.0,80,0.0,-120.0,-10.0,0.0,120.0
0,8,51.497583837866,-0.1151763368136774,7.0,50,0.95,-120.0,-10.0,0.0,120.0
0,9,51.49516747790404,-0.11035318502930556,7.0,50,0.8,-120.0,-10.0,0.0,120.0
0,10,51.49275092015221,-0.10553054459026243,1.0,50,0.95,-120.0,-10.0,0.0,120.0
0,11,51.49033416464864,-0.10070841543991817,6.0,50,0.8,-120.0,-10.0,0.0,120.0
0,12,51.487917211431345,-0.09588679752163529,6.0,50,0.95,-120.0,-10.0,0.0,120.0
0,13,51.485500060538456,-0.09106569077876855,5.0,50,0.95,-120.0,-10.0,0.0,120.0
0,14,51.48308271200802,-0.08624509515466511,3.0,50,0.95,-120.0,-10.0,0.0,120.0
1,0,51.52405044845513,-0.14449955056551864,37.0,50,0.95,-92.45051635758892,5.475174995190998,0.6543043846340222,106.33140272122526
1,1,51.52163567251354,-0.13967154841315052,36.0,50,0.95,-94.02419760322238,5.486510095140067,0.6545094669667972,107.90508396685871
1,2,51.5192206984264,-0.13484405827013976,32.0,50,0.95,-93.10212674026181,4.719044243018334,0.6404973739445416,106.98301310389816
1,3,51.51680552623187,-0.13001708007988952,39.0,50,0.8,-92.65877915728923,5.569838215304218,0.6560153282122747,106.53966552092555
1,4,51.51439015596812,-0.12519061378579524,31.0,50,0.95,-94.49844270680298,4.525953779641841,0.6369328203425665,108.44373932684955
1,5,51.511974587673286,-0.1203646593312446,30.0,50,0.8,-92.81177863167107,4.1108148710014625,0.6292183966083126,106.79154378318621
1,6,51.50955882138549,-0.11553921665961739,3.0,80,0.0,-90.27124982546691,2.030712571497131,0.8596378139277769,104.33024982546692
1,7,51.50714285714287,-0.11071428571428572,10.0,50,0.8,-95.67019635756402,2.4465246432446115,0.5976593852273127,109.64199938786702
1,8,51.50472669498355,-0.10588986643861392,12.0,50,0.95,-90.50274808950087,3.3624310713387926,0.6151457370482923,104.51522103322375
1,9,51.50231033494564,-0.10106595877595857,6.0,50,0.8,-89.99116120611849,3.2923961952756913,0.6138184715511834,103.9094528727851
1,10,51.499893777067264,-0.09624256266966849,9.0,50,0.95,-90.73761545195002,3.850089248659836,0.6243391854677811,104.69063529321984
1,11,51.497477021386544,-0.0914196780630848,4.0,50,0.8,-88.3352551154771,4.934850747053512,0.6444629932330536,102.25500385285076
1,12,51.49506006794155,-0.08659730489954089,5.0,10,0.7,-91.45341187007871,4.806124709155224,0.749494613300118,105.47033688950368
1,13,51.49264291677038,-0.0817754431223624,6.0,50,0.95,-89.46094254977481,4.213693936739165,0.6311365021884936,103.37923421644142
1,14,51.490225567911125,-0.07695409267486734,3.0,50,0.95,-88.14487727060524,4.133539304608788,0.6296424304467833,102.11137925473219
2,0,51.53119330435598,-0.13521913700523364,29.0,50,0.95,-95.64300327123856,3.6377575850211867,0.6203468317344992,109.58829989128512
2,1,51.52877852874399,-0.13039037697236772,26.0,50,0.95,-95.2016415186121,2.8595576280315824,0.6055786302127812,109.14693813865868
2,2,51.52636355493571,-0.12556212916024354,29.0,50,0.95,-95.2716828433005,3.1275700652696976,0.6106881173206848,109.3313127966804
2,3,51.52394838296931,-0.12073439351223524,31.0,10,0.6,-97.32735784068869,1.8749205038833727,0.6584148187086708,111.53679587487672
2,4,51.521533012882955,-0.1159071699717092,27.0,50,0.95,-94.550278423374,3.056787279958602,0.6093409985183793,108.49557504342057
2,5,51.51911744471479,-0.11108045848202401,32.0,50,0.8,-94.18480482222029,4.425298580674145,0.6350686585447556,108.22898023014568
2,6,51.51670167850301,-0.10625425898653042,30.0,50,0.95,-94.58819536223582,3.5550431702284646,0.6187871456795684,108.64782531561576
2,7,51.51428571428571,-0.10142857142857142,25.0,50,0.8,-95.55125477341284,2.4835150383908315,0.5983707637810671,109.49655139345941
2,8,51.511869552101075,-0.09660339575148227,19.0,50,0.95,-93.80362279387276,3.2557633978358234,0.6131235494914904,107.75069971694965
2,9,51.5094531919872,-0.09177873189859043,10.0,50,0.8,-94.68525407925412,2.6455958131737534,0.6014828921369645,108.59975582750583
